hour_of_day,day_of_week,num_daily_meds,past_adherence_rate,hours_since_last_dose,is_weekend,is_morning,is_evening,adherent
6,4,2,0.75,11,0,1,0,1
10,6,4,0.78,0,1,1,0,0
21,2,1,0.96,9,0,0,1,0
19,3,5,0.72,7,0,0,1,0
16,2,2,0.47,23,0,0,0,0
20,3,1,0.79,7,0,0,1,0
11,2,3,0.42,8,0,1,0,0
17,5,5,0.82,22,1,0,0,0
22,3,5,0.74,0,0,0,1,0
20,1,2,0.68,11,0,0,1,1
6,6,2,0.67,16,1,1,0,0
22,5,1,0.3,6,1,0,1,0
21,3,1,0.49,18,0,0,1,0
10,6,3,0.39,23,1,1,0,0
21,4,5,0.95,14,0,0,1,0
12,0,2,0.34,21,0,0,0,0
12,3,4,0.59,7,0,0,0,0
12,0,4,0.99,14,0,0,0,0
20,0,4,0.41,14,0,0,1,0
23,5,2,0.58,19,1,0,0,0
11,0,3,0.73,1,0,1,0,1
14,3,3,0.85,5,0,0,0,0
7,4,5,0.57,17,0,1,0,0
13,2,4,0.75,23,0,0,0,0
13,2,2,0.54,15,0,0,0,0
20,2,5,0.8,23,0,0,1,0
16,4,5,0.66,16,0,0,0,0
15,3,2,0.39,24,0,0,0,0
14,2,5,0.69,1,0,0,0,0
12,4,3,0.67,10,0,0,0,0
18,3,5,0.59,17,0,0,1,0
15,4,2,0.52,12,0,0,0,0
10,5,1,0.95,12,1,1,0,0
13,2,4,0.37,20,0,0,0,0
9,3,5,0.62,18,0,1,0,0
17,3,1,0.87,14,0,0,0,0
19,6,4,0.47,16,1,0,1,0
12,3,3,0.95,16,0,0,0,0
9,4,2,0.6,19,0,1,0,1
9,2,1,0.5,17,0,1,0,0
22,3,3,0.44,11,0,0,1,0
22,1,1,0.87,24,0,0,1,0
23,3,2,0.6,15,0,0,0,0
9,5,2,0.59,2,1,1,0,0
6,0,2,0.71,1,0,1,0,1
9,5,2,0.61,23,1,1,0,0
23,0,3,0.97,19,0,0,0,1
18,2,4,0.47,10,0,0,1,0
15,0,4,0.91,1,0,0,0,0
9,2,5,0.87,14,0,1,0,1
6,5,5,0.44,24,1,1,0,0
9,0,5,0.75,5,0,1,0,0
7,2,3,0.93,0,0,1,0,1
22,4,4,0.84,3,0,0,1,0
15,4,1,0.44,8,0,0,0,0
9,5,1,0.56,4,1,1,0,1
12,4,3,0.41,13,0,0,0,0
20,1,4,0.82,2,0,0,1,0
22,3,4,0.99,21,0,0,1,0
17,1,5,0.7,6,0,0,0,0
19,1,4,0.68,14,0,0,1,0
6,2,3,0.95,15,0,1,0,0
23,0,4,1.0,2,0,0,0,0
7,4,3,0.47,1,0,1,0,1
23,6,3,0.8,4,1,0,0,0
8,0,3,0.45,2,0,1,0,1
14,4,1,0.68,3,0,0,0,0
6,0,3,0.76,23,0,1,0,1
12,1,3,0.9,16,0,0,0,0
14,6,3,0.56,9,1,0,0,0
22,1,5,0.81,15,0,0,1,0
8,5,4,0.51,2,1,1,0,0
13,2,5,0.99,23,0,0,0,0
6,3,1,0.58,10,0,1,0,0
21,3,5,0.59,5,0,0,1,0
19,2,3,0.71,11,0,0,1,0
11,4,3,0.51,11,0,1,0,1
7,2,4,0.57,24,0,1,0,0
6,0,2,0.54,12,0,1,0,0
7,0,4,0.82,23,0,1,0,0
11,0,4,0.62,23,0,1,0,1
16,6,5,0.84,10,1,0,0,0
9,1,1,0.88,14,0,1,0,1
15,6,2,0.86,20,1,0,0,0
15,3,2,0.36,9,0,0,0,0
17,4,5,0.41,0,0,0,0,0
8,4,1,0.65,1,0,1,0,1
6,5,1,0.76,5,1,1,0,0
19,2,4,0.86,5,0,0,1,0
14,5,2,0.98,4,1,0,0,0
11,6,4,0.7,2,1,1,0,0
21,3,3,0.52,15,0,0,1,0
7,0,3,0.48,0,0,1,0,0
7,3,5,0.81,19,0,1,0,0
22,2,5,0.7,21,0,0,1,0
13,1,5,0.81,17,0,0,0,0
9,0,3,0.38,24,0,1,0,1
12,1,5,0.54,10,0,0,0,0
10,2,3,0.51,0,0,1,0,0
9,0,2,0.85,4,0,1,0,1
22,5,3,0.75,9,1,0,1,0
17,5,3,0.93,11,1,0,0,0
15,1,3,0.47,18,0,0,0,0
8,0,5,0.97,15,0,1,0,1
18,1,4,0.35,24,0,0,1,0
16,2,3,0.64,5,0,0,0,0
21,3,2,0.62,20,0,0,1,0
22,2,1,0.61,9,0,0,1,0
11,6,1,0.9,9,1,1,0,0
19,5,5,0.52,3,1,0,1,0
22,2,4,0.79,12,0,0,1,0
21,3,3,0.89,13,0,0,1,0
19,4,5,0.38,4,0,0,1,0
23,0,2,0.4,18,0,0,0,0
15,1,5,0.55,13,0,0,0,0
11,1,4,0.42,10,0,1,0,0
16,6,5,0.91,14,1,0,0,0
8,4,4,0.9,10,0,1,0,0
10,1,1,0.3,24,0,1,0,0
10,1,1,0.49,7,0,1,0,1
14,0,4,0.97,24,0,0,0,0
15,3,2,0.41,19,0,0,0,0
17,4,3,0.81,7,0,0,0,0
17,6,3,0.77,1,1,0,0,0
13,0,4,0.36,1,0,0,0,0
16,0,3,0.88,13,0,0,0,0
14,0,5,0.67,17,0,0,0,0
9,3,2,0.48,16,0,1,0,0
11,4,1,0.74,22,0,1,0,0
14,1,5,0.52,5,0,0,0,0
6,6,1,0.33,9,1,1,0,0
15,2,3,0.61,23,0,0,0,0
12,0,3,0.52,8,0,0,0,0
22,1,5,0.45,6,0,0,1,0
18,6,1,0.51,0,1,0,1,0
14,4,1,0.79,24,0,0,0,0
21,6,1,0.43,16,1,0,1,0
16,5,1,0.54,6,1,0,0,0
12,5,1,0.95,14,1,0,0,0
19,1,3,0.37,6,0,0,1,0
21,0,1,0.41,1,0,0,1,0
12,5,3,0.63,5,1,0,0,0
16,1,2,0.6,16,0,0,0,0
11,2,2,0.66,0,0,1,0,1
22,6,1,0.37,3,1,0,1,0
15,6,4,0.96,7,1,0,0,0
6,2,3,0.61,7,0,1,0,0
23,4,1,0.35,14,0,0,0,0
11,4,2,0.71,3,0,1,0,1
21,3,5,0.85,23,0,0,1,0
12,4,2,0.69,16,0,0,0,0
11,5,3,0.83,2,1,1,0,0
12,4,5,0.51,9,0,0,0,0
11,3,1,0.56,8,0,1,0,1
17,3,4,0.44,6,0,0,0,0
23,2,4,0.32,14,0,0,0,0
21,2,5,0.49,8,0,0,1,0
18,4,2,1.0,7,0,0,1,1
8,0,3,0.51,17,0,1,0,0
19,2,4,0.31,10,0,0,1,0
19,5,4,0.38,8,1,0,1,0
19,2,4,0.35,3,0,0,1,0
19,1,5,0.82,21,0,0,1,0
18,3,5,0.6,14,0,0,1,0
18,4,3,0.35,3,0,0,1,0
21,6,1,0.97,9,1,0,1,0
18,2,1,0.67,11,0,0,1,1
18,5,4,0.59,10,1,0,1,0
15,3,2,0.48,20,0,0,0,0
16,4,3,0.66,3,0,0,0,0
11,2,3,0.41,2,0,1,0,1
15,0,4,0.85,21,0,0,0,0
9,0,2,0.46,7,0,1,0,0
18,4,1,0.95,21,0,0,1,0
15,0,4,0.48,4,0,0,0,0
20,0,4,0.38,18,0,0,1,0
15,6,2,0.77,15,1,0,0,0
13,4,3,0.4,6,0,0,0,0
8,4,2,0.71,15,0,1,0,1
7,4,2,0.38,20,0,1,0,0
14,0,4,0.33,20,0,0,0,0
11,4,2,0.53,20,0,1,0,0
14,4,5,0.36,12,0,0,0,0
14,6,2,0.59,8,1,0,0,0
16,1,3,0.64,16,0,0,0,0
9,1,1,0.67,22,0,1,0,1
18,5,4,1.0,9,1,0,1,0
23,3,5,0.98,15,0,0,0,0
11,2,3,0.51,23,0,1,0,0
23,1,1,0.58,22,0,0,0,0
15,6,1,0.54,0,1,0,0,0
9,0,3,0.73,13,0,1,0,1
19,5,4,0.31,12,1,0,1,0
20,3,2,0.33,19,0,0,1,0
15,6,3,0.73,12,1,0,0,0
12,4,4,0.87,5,0,0,0,0
11,0,4,0.85,11,0,1,0,1
21,0,5,0.71,14,0,0,1,0
6,2,5,0.49,17,0,1,0,0
15,5,1,0.32,4,1,0,0,0
6,4,2,0.99,5,0,1,0,1
14,4,4,0.68,18,0,0,0,0
12,4,1,0.92,20,0,0,0,0
16,2,2,0.35,1,0,0,0,0
20,3,5,0.85,24,0,0,1,0
7,0,3,0.42,21,0,1,0,0
11,4,4,0.62,15,0,1,0,0
7,6,3,0.41,12,1,1,0,0
15,5,2,0.45,5,1,0,0,0
10,2,1,0.87,8,0,1,0,1
20,5,3,0.55,5,1,0,1,0
9,3,5,0.57,23,0,1,0,0
17,3,1,0.64,14,0,0,0,0
6,3,3,0.9,22,0,1,0,1
18,6,3,0.74,10,1,0,1,0
14,4,5,0.57,1,0,0,0,0
8,1,3,0.84,15,0,1,0,1
10,2,2,0.96,10,0,1,0,1
23,2,1,0.5,2,0,0,0,0
18,3,1,0.76,3,0,0,1,0
16,4,2,0.34,22,0,0,0,0
7,3,1,0.9,24,0,1,0,0
11,2,5,0.4,14,0,1,0,0
15,3,3,0.38,15,0,0,0,0
8,6,4,0.8,19,1,1,0,0
17,6,3,0.36,12,1,0,0,0
9,4,4,0.52,22,0,1,0,0
9,5,3,0.49,20,1,1,0,0
14,4,2,0.47,6,0,0,0,0
